Micf,MicPSD,Sagnacf,SagnacPSD,BPDf,BPDPSD,PDf,PDPSD
1297169.8113207547,2.7616310121264504e-13,2217741.935483871,1.5064884878002679e-12,2217741.935483871,3.1514599810904714e-12,2217741.935483871,1.617281911169266e-13
1326650.9433962265,2.672542388291927e-13,2268145.1612903224,1.5296749592198091e-12,2268145.1612903224,3.293494800319723e-12,2268145.1612903224,2.0532050806935732e-13
1356132.075471698,2.2055698788613065e-13,2318548.3870967743,1.2891020564504897e-12,2318548.3870967743,2.9307077039782214e-12,2318548.3870967743,2.1132693199305743e-13
1385613.2075471699,2.2855139536411237e-13,2368951.6129032257,1.2356872581844648e-12,2368951.6129032257,3.122617913493799e-12,2368951.6129032257,1.8194541704791267e-13
1415094.3396226414,2.4398393678707213e-13,2419354.8387096776,1.4100122126781262e-12,2419354.8387096776,2.724402523375111e-12,2419354.8387096776,1.7423228923824232e-13
1444575.4716981133,2.4643365209675425e-13,2469758.064516129,1.5517507219705695e-12,2469758.064516129,3.2009258598637885e-12,2469758.064516129,1.7221442967259496e-13
1474056.6037735848,2.30072048738265e-13,2520161.290322581,1.352425975101056e-12,2520161.290322581,3.1580534748602718e-12,2520161.290322581,1.9653400408142128e-13
1503537.7358490566,2.872964315387511e-13,2570564.5161290322,1.1720538242421457e-12,2570564.5161290322,3.5398193300583926e-12,2570564.5161290322,2.483646802969857e-13
1533018.8679245282,2.7046831868256196e-13,2620967.741935484,1.1830551605222716e-12,2620967.741935484,3.714840749786645e-12,2620967.741935484,2.2880399547404183e-13
1562500.0,2.310138788779128e-13,2671370.9677419355,8.359292125374282e-13,2671370.9677419355,3.1223332329922202e-12,2671370.9677419355,2.3731221147839816e-13
1591981.1320754718,2.0698666892908218e-13,2721774.193548387,9.724284345378253e-13,2721774.193548387,2.2288848318569105e-12,2721774.193548387,1.918422960750069e-13
1621462.2641509434,2.031061768893914e-13,2772177.419354839,1.2538549271434957e-12,2772177.419354839,2.16153449013533e-12,2772177.419354839,1.6205603007621632e-13
1650943.3962264152,1.8250138600690572e-13,2822580.64516129,1.4943263738273189e-12,2822580.64516129,2.555831552031e-12,2822580.64516129,1.8627513467031563e-13
1680424.5283018867,2.0072329111659349e-13,2872983.870967742,1.2739697071143626e-12,2872983.870967742,2.4875011642253795e-12,2872983.870967742,2.2409957156563562e-13
1709905.6603773586,2.1474210453397556e-13,2923387.0967741935,1.2701956665561453e-12,2923387.0967741935,3.3371404127674018e-12,2923387.0967741935,1.8951828587799442e-13
1739386.7924528301,2.2739278668539133e-13,2973790.3225806453,1.3980454966671852e-12,2973790.3225806453,3.865588336694075e-12,2973790.3225806453,1.9766114104447813e-13
1768867.924528302,2.457373405201083e-13,3024193.5483870967,1.569373248010048e-12,3024193.5483870967,2.67748833263757e-12,3024193.5483870967,1.8661332582688127e-13
1798349.0566037735,2.142857636407938e-13,3074596.7741935486,1.6318368223506114e-12,3074596.7741935486,3.0565044661681945e-12,3074596.7741935486,1.799663835887732e-13
1827830.1886792453,1.917752588459431e-13,3125000.0,6.279697259193655e-13,3125000.0,1.74622319888871e-12,3125000.0,7.942092159135964e-14
